gene bac body
100159686 1722 2188
100159687 189 216
100159688 23 1869
100159689 5556 4593
100159691 12 379
100159692 245 370
100159693 803 884
100159694 1703 1523
100159695 7 78
100159696 1387 2106
100159697 1063 1577
100159700 201 1486
100159701 698 840
100159702 631 620
100159703 3470 574
100159704 1223 1875
100159705 1567 1605
100159706 2400 1078
100159707 332 441
100159708 46 81
100159709 2480 4228
100159710 8 6
100159711 859 1197
100159712 2 3
100159713 601 901
100159714 250 435
100159715 113 796
100159716 183 181
100159717 8 15
100159718 1 1
100159719 842 4134
100159720 39 105
100159721 262 1126
100159722 76 104
100159723 289 615
100159724 308 429
100159725 203 206
100159728 26664 4793
100159729 265 308
100159730 8 41
100159731 2 200
100159732 1 46
100159733 419 733
100159734 922 908
100159735 0 23
100159736 387 545
100159738 14 424
100159739 905 1227
100159740 548 713
100159741 582 1573
100159742 478 3672
100159743 82 480
100159744 315 498
100159745 1577 703
100159746 10066 29938
100159747 770 1611
100159748 134 371
100159749 557 618
100159750 473 2602
100159751 1616 1522
100159752 259 210
100159753 10 4
100159754 4 101
100159755 685 1070
100159756 199 1375
100159757 4342 3577
100159758 1254 2117
100159759 25 108
100159760 1590 2552
100159761 349 579
100159762 855 1558
100159764 4983 5411
100159766 698 671
100159768 404 634
100159769 8742 10343
100159770 1407 1686
100159771 733 913
100159773 512 633
100159774 1193 1019
100159775 118 150
100159776 441 712
100159777 750 1314
100159778 43331 36579
100159779 0 0
100159782 2321 2712
100159783 1280 1957
100159785 771 1164
100159787 819 713
100159788 1346 1272
100159789 152 247
100159790 11079 2944
100159791 212 2349
100159795 2695 2615
100159796 0 0
100159797 1909 10045
100159798 471 695
100159799 254 271
100159800 33 192
100159801 0 0
100159803 27 234
100159804 312 276
100159805 5852 10323
100159806 5119 4815
100159807 7 25
100159808 0 0
100159809 0 0
100159810 3 1
100159811 15 165
100159812 2 67
100159813 7229 6687
100159814 154 1248
100159815 273 538
100159816 0 0
100159817 535 636
100159818 2735 2661
100159821 108 1661
100159822 1084 1577
100159824 3666 5024
100159825 539 590
100159826 16 14
100159827 2100 1684
100159828 231 1766
100159829 1833 2413
100159830 0 0
100159832 329 578
100159833 0 0
100159835 8547 2837
100159836 423 540
100159838 0 0
100159839 47 360
100159840 512 943
100159841 8589 1951
100159842 57 48
100159843 1509 2050
100159845 3223 3897
100159847 1035 1442
100159848 163 651
100159849 14564 10394
100159850 0 0
100159851 0 6
100159852 2744 3722
100159853 1787 1997
100159854 0 0
100159855 49 132
100159856 1040 1612
100159857 252 948
100159859 638 1256
100159860 255 458
100159861 364 412
100159862 13000 469
100159863 14 114
100159864 401 830
100159865 445 588
100159868 36 514
100159869 188 319
100159870 581 895
100159871 101 216
100159872 263 347
100159875 1104 1226
100159876 933 798
100159877 113 608
100159878 729 806
100159880 773 1282
100159883 7 4
100159884 5490 4339
100159885 90 219
100159886 269 1419
100159887 0 6
100159888 1489 2378
100159889 106 315
100159890 0 0
100159892 2275 2545
100159893 399 430
100159894 21 37
100159895 28 258
100159897 334 206
100159898 4 47
100159899 907 1178
100159900 1142 1489
100159901 1052 1704
100159902 268 1257
100159903 560 229
100159904 1351 1999
100159905 25 252
100159906 1993 2431
100159910 443 432
100159911 0 0
100159913 37 26
100159914 43 211
100159915 1354 1987
100159916 9 445
100159917 0 1
100159918 520 366
100159919 647 923
100159920 16 9
100159921 14 179
100159922 1651 374
100159923 2 5
100159924 369 407
100159925 16 9
100159926 0 98
100159927 673 910
100159929 1690 2115
100159930 18 49
100159931 1070 1378
100159932 1213 5860
100159933 11140 10023
100159934 5294 6594
100159935 4703 7819
100159936 161 302
100159937 63 371
100159938 501 549
100159939 886 27458
100159941 1778 2590
100159942 1104 1453
100159943 9 460
100159944 1247 787
100159947 429 367
100159948 256 278
100159949 62 113
100159951 320 475
100159953 14912 19619
100159954 11961 8346
100159955 895 1344
100159957 426 480
100159958 326 703
100159959 179 906
100159960 524 604
100159962 1156 1092
100159963 4 7
100159964 43 19
100159965 3143 2615
100159966 1212 2218
100159967 1275 1231
100159968 2287 17610
100159970 902 780
100159972 353 423
100159973 0 16
100159974 142 233
100159976 450 956
100159977 18 29
100159978 1 0
100159979 146 239
100159980 1114 1050
100159981 5805 2533
100159982 247 416
100159983 13 7
100159984 31 35
100159985 1227 775
100159986 10520 2542
100159987 199 610
100159988 2161 2103
100159989 535 380
100159990 499 509
100159991 30 2777
100159992 245 625
100159993 247 260
100159994 1028 1055
100159995 1295 1153
100159996 340 1013
100159997 947 1342
100159998 0 0
100159999 0 0
100160001 1272 1789
100160002 21 111
100160004 11 116
100160005 1067 1154
100160007 333 359
100160008 12513 11155
100160009 1 1
100160010 543 488
100160011 1131 719
100160012 1 5
100160013 656 912
100160014 535 749
100160016 800 1429
100160017 4252 5408
100160018 781 791
100160019 2656 3814
100160020 2608 2602
100160021 131 342
100160022 605 556
100160023 0 0
100160026 9950 8018
100160027 748 871
100160028 57 97
100160029 135 240
100160030 555 450
100160031 22 10
100160032 17262 20584
100160033 6428 2151
100160034 9387 8265
100160035 2291 1225
100160037 144 301
100160038 595 914
100160039 3907 2229
100160040 211 177
100160041 13374 9277
100160043 1227 1262
100160044 267 220
100160045 1594 1550
100160046 11652 12092
100160047 470 1198
100160048 686 760
100160050 2120 2959
100160052 678 1573
100160053 865 1106
100160055 604 685
100160056 2576 2272
100160057 637 632
100160059 449 450
100160060 1572 2547
100160061 292 375
100160062 0 25
100160065 229 1599
100160066 849 1105
100160070 0 0
100160071 0 0
100160072 39 81
100160073 641 1329
100160074 321 315
100160075 1268 1581
100160076 1 10
100160077 543 887
100160078 368 854
100160079 357 3617
100160080 3158 3423
100160081 6606 1068
100160082 29 100
100160083 845 1069
100160084 278 631
100160085 12 3
100160086 365 395
100160087 4463 3526
100160088 271 2897
100160089 1318 1726
100160090 35 17
100160092 205 478
100160094 200 322
100160095 521 589
100160096 0 4
100160097 1596 2422
100160101 21 342
100160104 72 141
100160105 1526 621
100160106 729 683
100160108 402 485
100160109 1142 1197
100160110 1373 1097
100160111 1049 7549
100160112 856 968
100160116 4393 4868
100160117 0 0
100160119 2547 1002
100160120 214 272
100160121 212 13805
100160123 128 132
100160125 87 849
100160127 31 137
100160128 1 1
100160129 3361 2682
100160130 235 368
100160131 80 75
100160133 246 349
100160135 1047 1345
100160136 1277 1546
100160137 403 470
100160139 83782 24860
100160140 546 893
100160141 1274 2058
100160142 70 559
100160143 1444 1447
100160144 4146 5192
100160145 903 651
100160146 1013 1209
100160147 105 125
100160148 24 77
100160149 163 471
100160150 298 275
100160151 8 197
100160152 184 1289
100160153 7592 12164
100160154 452 417
100160156 0 0
100160157 285 354
100160158 44 220
100160159 1989 2754
100160160 249 334
100160161 209 209
100160162 3706 4319
100160163 288 296
100160164 6 120
100160165 141 156
100160168 17854 5406
100160169 114 395
100160171 1 0
100160172 724 756
100160173 4147 1395
100160174 408 297
100160175 625 661
100160176 652 1023
100160177 280 425
100160178 916 957
100160179 904 881
100160180 1547 2259
100160181 997 1593
100160182 869 992
100160183 15 22
100160184 1384 1580
100160185 24 11
100160186 407 516
100160187 284 3985
100160189 0 0
100160190 9 64
100160192 5 231
100160193 396 369
100160194 600 674
100160195 470 950
100160197 1 0
100160198 0 0
100160200 533 726
100160201 33 153
100160202 611 573
100160203 518 762
100160204 15 32
100160205 13 15
100160206 443 438
100160207 2722 3527
100160209 4495 407
100160210 0 1
100160211 2888 3462
100160212 616 888
100160213 384 304
100160214 799 1998
100160215 22649 20730
100160216 410 673
100160217 920 1112
100160218 109 1383
100160219 544 589
100160220 6 46
100160221 0 0
100160222 4 2
100160223 920 1131
100160224 25600 26531
100160225 0 0
100160226 786 2889
