gene trans1 trans2 trans3 trans4 trans5 trans6
ScZCZ4B_126.g7029 0 0 0 0 0 0
ScZCZ4B_1262.g15051 2 0 1 2 0 0
ScZCZ4B_12623.g4117 0 0 0 0 0 0
ScZCZ4B_1264.g6903 0 0 0 0 0 0
ScZCZ4B_1265.g1316 0 0 0 0 0 0
ScZCZ4B_1266.g2649 0 0 0 0 0 0
ScZCZ4B_12660.g5955 26 2 31 3 2 18
ScZCZ4B_12673.g18290 16 17 51 0 2 0
ScZCZ4B_12683.g1025 0 0 0 0 0 0
ScZCZ4B_12686.g18034 0 2 0 0 0 0
ScZCZ4B_1269.g7378 101 25 172 36 51 18
ScZCZ4B_12690.g6832 12 9 2 6 0 2
ScZCZ4B_1270.g1318 2 0 0 2 0 0
ScZCZ4B_12734.g1022 0 0 0 0 0 0
ScZCZ4B_12747.g18224 274 73 558 170 241 139
ScZCZ4B_1275.g18143 0 0 0 0 0 0
ScZCZ4B_12754.g12993 65 43 149 17 30 27
ScZCZ4B_1277.g13280 0 0 0 0 0 2
ScZCZ4B_12783.g13185 0 0 0 0 0 0
ScZCZ4B_1279.g13143 0 0 0 0 0 0
ScZCZ4B_1280.g15060 0 0 0 0 0 0
ScZCZ4B_12812.g2676 45 59 155 0 3 0
ScZCZ4B_12813.g15054 0 0 2 0 0 0
ScZCZ4B_1285.g7365 27 8 36 16 17 8
ScZCZ4B_1286.g4146 252 79 356 146 115 88
ScZCZ4B_12864.g4281 6 4 13 2 4 0
ScZCZ4B_12877.g37 0 0 0 0 0 0
ScZCZ4B_1289.g12858 1 0 7 0 0 0
ScZCZ4B_129.g2479 6 7 8 1 6 3
ScZCZ4B_129.g2480 0 0 10 0 1 0
ScZCZ4B_129.g2481 0 0 0 0 0 0
ScZCZ4B_129.g2482 0 0 0 0 0 0
ScZCZ4B_12908.g18210 0 0 0 0 0 0
ScZCZ4B_1292.g4504 14 3 15 1 5 2
ScZCZ4B_1298.g4409 0 0 0 0 0 0
ScZCZ4B_12986.g4410 33 10 52 11 30 15
ScZCZ4B_13.g1275 0 0 0 0 0 0
ScZCZ4B_13.g1276 1 2 13 0 2 0
ScZCZ4B_13.g1277 0 0 0 0 0 0
ScZCZ4B_130.g15080 2 6 10 0 8 0
ScZCZ4B_130.g15081 58 12 58 17 16 14
ScZCZ4B_130.g15082 725 324 1455 367 356 262
ScZCZ4B_130.g15083 72 40 123 12 21 6
ScZCZ4B_130.g15084 0 4 7 0 6 0
ScZCZ4B_130.g15085 2 12 11 6 4 4
ScZCZ4B_130.g15086 6 0 7 6 0 0
