gene male1 male2 female1 female2 asexual1 asexual2
100158978 425 322 254 469 457 650
100158979 35 27 626 740 492 337
100158980 2424 2612 2770 2472 14570 5566
100158981 288 193 92 211 233 406
100158983 1233 989 270 356 923 677
100158984 101 57 9 30 335 269
100158985 32 24 12 20 22 17
100158987 170 136 242 257 491 324
100158988 542 400 807 1738 1187 1882
100158990 995 690 2 3 15 9
100158991 12269 9435 2155 3974 6395 6322
100158993 1258 948 2123 3188 2471 2023
100158994 1496 1016 516 1110 1919 2040
100158995 90 76 13 50 92 133
100158996 6699 5214 3983 5118 2633 1701
100158999 1300 1182 690 1533 1299 2259
100159001 1277 1067 700 898 1266 1141
100159002 234 161 367 385 403 298
100159005 10746 7572 2882 3061 3128 1802
100159008 684 492 1868 2425 1018 1114
100159009 1075 817 109 270 1054 1000
100159010 14590 11731 900 2685 2273 2880
100159011 267 234 547 653 676 608
100159013 165 95 230 368 452 501
100159014 1761 1447 925 1001 1786 2075
100159015 726 643 362 766 871 1046
100159016 293 252 350 376 413 267
100159018 0 0 0 0 0 0
100159019 2706 2417 606 1459 2128 2438
100159021 441 387 997 1627 3025 2308
100159023 78 73 57 94 124 116
100159024 3397 3132 462 676 2614 1305
100159025 1368 905 748 1094 723 654
100159026 0 0 0 0 0 0
100159027 289 331 684 770 761 635
100159028 149 120 784 1044 605 603
100159030 1373 986 934 1693 2138 1871
100159031 677 523 389 592 570 608
100159032 1973 1534 1096 1412 1846 1477
100159033 54 57 10 19 406 318
100159034 1388 1046 1102 1611 939 1051
100159035 2051 1784 720 853 2068 1515
100159036 14 25 7 12 24 11
100159037 0 0 0 0 0 0
100159038 1392 1145 720 1053 792 869
100159039 723 542 231 387 525 450
100159040 177 146 578 1124 985 1315
100159041 1090 891 5 17 386 255
100159043 182 141 545 505 697 464
100159044 485 375 364 508 852 943
100159045 4973 4458 6345 5305 25373 13410
100159047 162 120 113 117 333 250
100159048 7582 5447 462 1115 603 983
100159049 448 388 550 719 859 979
100159050 1157 1579 6 13 447 587
100159051 0 0 0 0 6 9
100159052 443 371 969 1431 972 896
100159053 207 157 136 149 424 436
100159054 1 2 0 0 0 0
100159055 8602 10640 1107 1764 6861 5331
100159056 309 231 354 612 318 518
100159057 70 41 421 589 165 226
100159060 108 106 202 226 386 290
100159061 863 633 264 627 1089 1358
100159063 5117 4333 703 992 1193 722
100159064 278 387 14 26 915 932
100159065 20154 14872 20039 23651 39117 33041
100159066 690 503 28 95 256 399
100159067 1438 1182 671 941 1742 1227
100159068 545 504 289 601 326 494
100159070 5923 4148 273 446 5170 3289
100159071 265 211 362 372 419 292
100159074 356 261 182 207 701 452
100159075 77 52 10 8 53 53
100159076 0 0 0 1 1 1
100159077 2272 1693 567 890 1167 660
100159080 82 76 82 138 94 127
100159081 101 71 25 59 98 120
100159083 188 137 320 765 160 273
100159086 0 0 0 0 0 0
100159087 6959 5355 694 777 1990 1089
100159088 86 64 139 129 336 272
100159089 0 0 0 0 0 0
100159090 2 4 712 889 52 54
100159092 109 105 296 519 463 620
100159093 1519 1162 620 1032 1539 1734
100159094 28117 25341 9 17 12 16
100159095 145 114 21 38 196 149
100159096 1192 964 451 559 2412 1517
100159098 1149 1013 4839 5413 7798 7064
100159099 358 276 659 1280 456 727
100159100 225 208 1010 1085 346 242
100159102 1133 791 427 590 824 738
100159103 2159 1572 760 930 1742 1244
100159104 129 124 446 407 475 473
100159106 1321 929 218 341 1573 1147
100159107 2820 2337 1382 4433 2818 4859
100159108 781 646 703 989 1149 1619
100159109 388 346 15 45 70 110
100159110 46 64 4 3 390 371
100159114 831 736 457 660 737 745
100159115 0 0 0 0 0 0
100159117 256 196 31 57 286 298
100159118 85 49 127 177 124 119
100159119 274 265 333 656 407 657
100159120 2331 1751 1415 1606 3558 2643
100159122 936 732 157 414 349 563
100159123 1 2 2004 2516 193 160
100159124 181 117 113 109 300 181
100159128 7 3 0 1 56 64
100159129 312 233 328 1338 374 771
100159131 1001 770 239 361 1403 1157
100159132 1 3 0 1 0 1
100159133 34 40 22 110 144 182
100159134 1092 822 151 201 661 467
100159135 1895 1358 1355 1936 1620 1374
100159136 101 82 373 564 142 170
100159138 738 750 884 1168 2152 1352
100159139 36 18 8 9 37 46
100159140 1467 1100 644 1185 2370 1981
100159141 302 223 1098 1309 864 939
100159142 67 35 3 2 81 108
100159143 121 100 288 420 192 161
100159144 343 258 404 776 503 703
100159145 3276 2633 1249 1483 3543 2916
100159146 850 671 165 540 8 20
100159148 2 2 0 0 0 0
100159149 115 78 9 26 13 29
100159150 16 26 889 797 386 337
100159151 234 206 443 1037 561 820
100159152 9498 6870 3432 4110 7244 4748
100159153 25 25 296 447 125 166
100159154 321 182 310 285 907 585
100159157 21 10 10 14 2 4
100159159 459 312 278 445 579 746
100159160 831 703 50 110 158 319
100159162 2 0 29 29 246 139
100159163 265 283 84 168 302 327
100159165 637 511 895 1527 949 1330
100159166 8 8 424 484 52 44
100159168 443 352 443 580 473 552
100159169 1176 876 368 1097 717 912
100159170 548 418 353 518 699 702
100159171 943 718 226 326 433 447
100159172 62 44 41 71 71 115
100159173 144 124 679 1158 455 610
100159176 688 527 1131 1234 1802 1359
100159177 2979 2389 2056 4358 2083 2339
100159178 457 475 210 456 1267 1193
100159179 1747 1428 2196 4542 4462 6264
100159180 9 4 0 0 11 4
100159182 3 4 7 9 969 594
100159183 458 376 394 442 478 456
100159184 9901 7835 3633 4299 1795 1217
100159186 3358 3200 2597 4195 4273 4587
100159187 1274 1388 302 311 804 515
100159188 58 37 36 52 214 112
100159189 339 297 336 689 298 442
100159190 11 5 59 105 327 210
100159191 8 11 0 0 0 0
100159192 1628 1240 2206 3019 6012 5402
100159193 101 102 273 290 336 301
100159194 2 1 1 0 0 0
100159195 25 27 17 11 28 6
100159196 0 0 2 2 0 0
100159197 580 529 243 264 876 581
100159200 666 536 817 1081 689 820
100159201 19 20 189 285 100 63
100159202 190 169 68 67 214 172
100159203 18 8 146 202 1714 1116
100159205 3700 3066 4652 5305 5881 3747
100159206 0 0 0 0 0 0
100159207 2162 1608 474 1154 735 1362
100159208 1872 1499 643 863 1513 1633
100159210 3 1 2 0 148 96
100159211 768 612 846 1470 1076 1368
100159213 1558 1020 363 548 993 825
100159214 133 142 284 615 245 375
100159215 1945 1374 41 155 96 146
100159216 28 17 2 7 39 15
100159217 1571 1416 977 1980 2092 2715
100159218 369 281 325 300 677 528
100159219 56 48 95 100 70 75
100159220 686 574 1835 1920 3063 2083
100159221 363 288 713 748 216 189
100159222 231 129 13 21 251 199
100159225 126 102 13 20 128 93
100159226 746 658 120 227 162 122
100159227 0 0 109 124 9 6
100159228 401 282 483 673 505 523
100159229 36588 26213 16152 19305 46659 34695
100159230 598 433 711 766 1409 742
100159231 406 346 52 52 384 243
100159232 4217 3422 3127 6786 7044 8840
100159233 2 0 0 0 0 0
100159234 5702 3942 2256 3396 3205 2280
100159235 494 410 443 843 459 769
100159237 158 119 1431 1873 872 736
100159238 1059 860 693 721 948 874
100159241 102 63 8 8 425 307
100159243 144 144 5 7 243 155
100159244 2134 1569 249 303 2423 1743
100159245 577 474 86 481 410 839
100159246 1 1 0 0 1 0
100159248 235 182 27 82 106 117
100159249 456 313 78 246 526 793
